model,ev_threshold,min_prob_threshold,bets,wins,hit_rate,profit,roi
extra_trees,0.0,0.5,1081,682,0.6308973172987974,283.0,0.26179463459759483
extra_trees,0.02,0.5,1081,682,0.6308973172987974,283.0,0.26179463459759483
extra_trees,0.04,0.5,1081,682,0.6308973172987974,283.0,0.26179463459759483
extra_trees,0.06,0.5,1081,682,0.6308973172987974,283.0,0.26179463459759483
random_forest,0.0,0.5,1589,968,0.6091881686595343,347.0,0.2183763373190686
random_forest,0.02,0.5,1589,968,0.6091881686595343,347.0,0.2183763373190686
random_forest,0.04,0.5,1589,968,0.6091881686595343,347.0,0.2183763373190686
random_forest,0.06,0.5,1589,968,0.6091881686595343,347.0,0.2183763373190686
extra_trees,0.0,0.46,1625,971,0.5975384615384616,317.0,0.19507692307692306
extra_trees,0.02,0.46,1625,971,0.5975384615384616,317.0,0.19507692307692306
extra_trees,0.04,0.46,1625,971,0.5975384615384616,317.0,0.19507692307692306
extra_trees,0.06,0.46,1625,971,0.5975384615384616,317.0,0.19507692307692306
logreg,0.0,0.5,1737,1020,0.5872193436960277,303.0,0.17443868739205526
logreg,0.02,0.5,1737,1020,0.5872193436960277,303.0,0.17443868739205526
logreg,0.04,0.5,1737,1020,0.5872193436960277,303.0,0.17443868739205526
logreg,0.06,0.5,1737,1020,0.5872193436960277,303.0,0.17443868739205526
random_forest,0.0,0.46,2204,1284,0.5825771324863884,364.0,0.16515426497277677
random_forest,0.02,0.46,2204,1284,0.5825771324863884,364.0,0.16515426497277677
random_forest,0.04,0.46,2204,1284,0.5825771324863884,364.0,0.16515426497277677
random_forest,0.06,0.46,2204,1284,0.5825771324863884,364.0,0.16515426497277677
logreg,0.0,0.46,2273,1276,0.5613726352837659,279.0,0.1227452705675319
logreg,0.02,0.46,2273,1276,0.5613726352837659,279.0,0.1227452705675319
logreg,0.04,0.46,2273,1276,0.5613726352837659,279.0,0.1227452705675319
logreg,0.06,0.46,2273,1276,0.5613726352837659,279.0,0.1227452705675319
random_forest,0.0,0.4,2957,1621,0.5481907338518769,285.0,0.0963814677037538
random_forest,0.02,0.4,2957,1621,0.5481907338518769,285.0,0.0963814677037538
random_forest,0.04,0.4,2957,1621,0.5481907338518769,285.0,0.0963814677037538
random_forest,0.06,0.4,2957,1621,0.5481907338518769,285.0,0.0963814677037538
logreg,0.0,0.4,3086,1650,0.5346727154893065,214.0,0.06934543097861309
logreg,0.02,0.4,3086,1650,0.5346727154893065,214.0,0.06934543097861309
logreg,0.04,0.4,3086,1650,0.5346727154893065,214.0,0.06934543097861309
logreg,0.06,0.4,3086,1650,0.5346727154893065,214.0,0.06934543097861309
extra_trees,0.0,0.4,2722,1437,0.5279206465833945,152.0,0.055841293166789124
extra_trees,0.02,0.4,2722,1437,0.5279206465833945,152.0,0.055841293166789124
extra_trees,0.04,0.4,2722,1437,0.5279206465833945,152.0,0.055841293166789124
extra_trees,0.06,0.4,2722,1437,0.5279206465833945,152.0,0.055841293166789124
random_forest,0.0,0.34,3610,1873,0.5188365650969529,136.0,0.037673130193905814
random_forest,0.02,0.34,3610,1873,0.5188365650969529,136.0,0.037673130193905814
random_forest,0.04,0.34,3610,1873,0.5188365650969529,136.0,0.037673130193905814
random_forest,0.06,0.34,3610,1873,0.5188365650969529,136.0,0.037673130193905814
logreg,0.0,0.34,3622,1862,0.5140806184428492,102.0,0.02816123688569851
logreg,0.02,0.34,3622,1862,0.5140806184428492,102.0,0.02816123688569851
logreg,0.04,0.34,3622,1862,0.5140806184428492,102.0,0.02816123688569851
logreg,0.06,0.34,3622,1862,0.5140806184428492,102.0,0.02816123688569851
extra_trees,0.0,0.34,3613,1770,0.48989759202878497,-73.0,-0.020204815942430114
extra_trees,0.02,0.34,3613,1770,0.48989759202878497,-73.0,-0.020204815942430114
extra_trees,0.04,0.34,3613,1770,0.48989759202878497,-73.0,-0.020204815942430114
extra_trees,0.06,0.34,3613,1770,0.48989759202878497,-73.0,-0.020204815942430114
