date,home_team,away_team,odds_avg_h,odds_avg_d,odds_avg_a,p_H,p_D,p_A,ev_H,ev_D,ev_A,best_pick,best_ev,stake_eur,expected_profit_eur,expected_return_eur,bet_selected,bet_selected_ev_gt_2pct,is_next_jornada,expected_bankroll_cumulative_eur
2026-03-20,Villarreal,Real Sociedad,1.9409090909090911,3.6759090909090912,3.8354545454545454,0.6182589838821703,0.209601609041039,0.17213940707679085,0.1999844823531216,-0.22952353985687157,-0.3397671286754722,H,0.1999844823531216,1.0,0.1999844823531216,1.1999844823531216,True,True,True,0.1999844823531216
2026-03-21,Elche,Mallorca,2.135909090909091,3.3177272727272733,3.586363636363636,0.5718770795076726,0.21799838672048358,0.21012453377184384,0.22147745300297905,-0.2767408069669046,-0.2464170129727965,H,0.22147745300297905,1.0,0.22147745300297905,1.221477453002979,True,True,True,0.42146193535610066
2026-03-21,Espanyol,Getafe,2.4254545454545458,2.958181818181818,3.347727272727272,0.5984243577174541,0.18145375471358133,0.2201218875689646,0.451451078536516,-0.4632268019654604,-0.2630919536611709,H,0.451451078536516,1.0,0.451451078536516,1.451451078536516,True,True,True,0.8729130138926167
2026-03-21,Levante,Oviedo,2.1759090909090912,3.353181818181818,3.424999999999999,0.5159537159562845,0.3391573985224116,0.14488888552130402,0.12266838103760636,0.1372564222271957,-0.503755567089534,D,0.1372564222271957,1.0,0.1372564222271957,1.1372564222271957,True,True,True,1.0101694361198124
2026-03-21,Osasuna,Girona,2.172272727272727,3.403181818181818,3.386363636363636,0.6112622631384912,0.21556386280093137,0.17317387406057744,0.3278283434267495,-0.2663969814588304,-0.4135702901130447,H,0.3278283434267495,1.0,0.3278283434267495,1.3278283434267495,True,True,True,1.3379977795465618
2026-03-21,Sevilla,Valencia,2.264545454545455,3.1668181818181824,3.424545454545455,0.47819769240487825,0.32408776864426025,0.19771453895086147,0.08290041070959275,0.026327038247528023,-0.32291757433827706,H,0.08290041070959275,1.0,0.08290041070959275,1.0829004107095928,True,True,True,1.4208981902561546
2026-03-22,Athletic Club,Real Betis,2.205714285714285,3.4676190476190474,3.259523809523809,0.4988319391060287,0.23474684668802867,0.2664212142059427,0.10028073425672579,-0.18598736305608354,-0.13159370893348676,H,0.10028073425672579,1.0,0.10028073425672579,1.1002807342567258,True,True,True,1.5211789245128804
2026-03-22,Barcelona,Rayo Vallecano,1.229090909090909,6.997272727272727,10.702727272727271,0.7477145900253005,0.17663649827839073,0.07564891169630883,-0.08099079480526705,0.23597375204433946,-0.19035032963577847,D,0.23597375204433946,1.0,0.23597375204433946,1.2359737520443395,True,True,True,1.7571526765572199
2026-03-22,Celta Vigo,Alaves,1.8390909090909096,3.372272727272727,4.793636363636364,0.5406205369783946,0.303515404502584,0.15586405851902133,-0.00574968517518859,0.02353672091121406,-0.2528443812992732,D,0.02353672091121406,1.0,0.02353672091121406,1.023536720911214,True,True,True,1.780689397468434
2026-03-22,Real Madrid,Atletico Madrid,1.952380952380952,3.847142857142857,3.628571428571429,0.4347081553690089,0.2990116989520784,0.26628014567891267,-0.15128407761288742,0.15034072182563873,-0.03378347139365967,D,0.15034072182563873,1.0,0.15034072182563873,1.1503407218256387,True,True,True,1.9310301192940726
2026-04-03,Rayo Vallecano,Elche,1.802857142857143,3.402857142857143,4.227142857142858,0.4733093903760976,0.16268861578984703,0.36400199383405524,-0.1466907847790926,-0.44639388169797767,0.5386884282213851,A,0.5386884282213851,1.0,0.5386884282213851,1.538688428221385,True,True,False,2.4697185475154577
2026-04-04,Alaves,Osasuna,2.558571428571429,2.9585714285714286,2.914285714285714,0.6387558193048538,0.1928420708894986,0.16840210980564754,0.6343023891071335,-0.42946295883978347,-0.5092281371378271,H,0.6343023891071335,1.0,0.6343023891071335,1.6343023891071335,True,True,False,3.1040209366225913
2026-04-04,Atletico Madrid,Barcelona,2.6821428571428565,3.763571428571428,2.2192857142857143,0.23105412324091687,0.29949945720591525,0.46944641955316785,-0.3802798337359695,0.1271876000128338,0.04183573253692319,D,0.1271876000128338,1.0,0.1271876000128338,1.1271876000128338,True,True,False,3.231208536635425
2026-04-04,Mallorca,Real Madrid,5.090714285714285,4.136428571428572,1.5592857142857146,0.08853612911875744,0.14816943005262778,0.7632944408286149,-0.549287862693297,-0.3871077361180232,0.19019411737776193,A,0.19019411737776193,1.0,0.19019411737776193,1.190194117377762,True,True,False,3.421402654013187
2026-04-04,Real Sociedad,Levante,1.4914285714285709,3.952142857142857,5.365714285714286,0.42852115974355337,0.45336530730337676,0.11811353295306969,-0.36089129889675775,0.7917644609354169,-0.366236528897529,D,0.7917644609354169,1.0,0.7917644609354169,1.7917644609354169,True,True,False,4.213167114948604
2026-04-05,Getafe,Athletic Club,2.893571428571428,2.944285714285713,2.63,0.31626400035107305,0.3970853182019917,0.2866506814469352,-0.08486752469843106,0.16913262973472087,-0.2461087077945605,D,0.16913262973472087,1.0,0.16913262973472087,1.1691326297347209,True,True,False,4.3822997446833245
2026-04-05,Oviedo,Sevilla,2.6185714285714288,3.1128571428571434,2.4250000000000003,0.41846610770072235,0.2613978331122032,0.32013605918707433,0.09578339345060582,-0.1863058880692987,-0.22367005647134464,H,0.09578339345060582,1.0,0.09578339345060582,1.0957833934506058,True,True,False,4.478083138133931
2026-04-05,Real Betis,Espanyol,1.6938461538461536,4.067692307692308,4.3,0.5577997066373491,0.3443357910287747,0.09786450233387618,-0.05517311229581345,0.40065204843089286,-0.5791826399643325,D,0.40065204843089286,1.0,0.40065204843089286,1.4006520484308929,True,True,False,4.878735186564824
2026-04-05,Valencia,Celta Vigo,2.369285714285714,3.334285714285715,2.9042857142857144,0.3409318550044096,0.19241608622041773,0.4666520587751727,-0.19223502639312384,-0.35842979251649276,0.3552909078427515,A,0.3552909078427515,1.0,0.3552909078427515,1.3552909078427515,True,True,False,5.234026094407575
2026-04-06,Girona,Villarreal,2.713846153846154,3.46923076923077,2.26,0.24922308718742245,0.275572191764682,0.4752047210478955,-0.32364688338674896,-0.04397647318560305,0.07396266956824382,A,0.07396266956824382,1.0,0.07396266956824382,1.0739626695682438,True,True,False,5.307988763975819
